author_id,author_id
4424,16254
4215,16884
8478,11805
8478,9966
11805,9966
10557,21051
10557,9525
21051,9525
16152,2762
14471,22379
5158,3784
5158,21107
3784,21107
2811,9882
2811,14446
9882,14446
3649,8199
10573,14866
12284,17745
23263,6940
23263,14006
23263,8764
6940,14006
6940,8764
14006,8764
15803,10260
15803,12529
10260,12529
6717,19781
6717,18568
6717,4433
6717,1050
19781,18568
19781,4433
19781,1050
18568,4433
18568,1050
4433,1050
2338,6884
10236,19877
17183,17371
15659,21279
13654,10167
19611,2637
7094,16320
7094,5469
16320,5469
16660,130
16660,2803
130,2803
16508,1043
16623,12195
18315,12813
18315,20900
12813,20900
3907,7574
3907,16677
7574,16677
1605,5706
13419,18443
938,1301
8528,22994
4352,1655
4352,6647
1655,6647
3330,11514
15230,17494
16529,15817
18591,21845
10198,18579
22017,425
22017,16424
425,16424
8177,7485
20435,18211
23328,10789
16876,15658
14415,15998
11647,694
3371,14956
15078,18448
10767,16611
10767,768
16611,768
9793,13377
7660,15472
7660,7944
7660,13332
7660,15217
15472,7944
15472,13332
15472,15217
7944,13332
7944,15217
13332,15217
17490,5388
17356,13784
1161,13563
21775,10755
579,11786
23331,19734
23331,13207
23331,2788
19734,13207
19734,2788
13207,2788
5172,19091
8044,7508
18826,2956
18826,19674
2956,19674
7240,20960
6508,5342
9491,22969
15766,20504
4352,1655
17942,1935
10927,14737
11886,12787
103,14129
8827,13563
8827,1196
13563,1196
20025,22636
3569,5396
23049,7690
2861,1460
1849,2209
1849,9687
2209,9687
862,11175
16741,4666
16741,2508
4666,2508
4529,17518
4529,9801
17518,9801
3426,1995
1029,11624
4307,22997
6765,13055
6765,197
6765,10040
13055,197
13055,10040
197,10040
11445,16927
13894,2350
20424,12145
20424,1904
20424,3135
12145,1904
12145,3135
1904,3135
1748,1111
1748,12576
1111,12576
14217,18244
21869,23289
12835,5464
11620,4763
11620,12041
11620,21168
4763,12041
4763,21168
12041,21168
19050,19376
14833,2095
17553,16824
17553,22933
17553,14024
16824,22933
16824,14024
22933,14024
15088,20957
15088,11595
20957,11595
12860,794
12860,8694
794,8694
10225,912
10225,6296
10225,15303
10225,22489
10225,8098
10225,19250
10225,14449
10225,6024
10225,10664
10225,12057
10225,6771
10225,14110
10225,22991
10225,7108
10225,8814
912,6296
912,15303
912,22489
912,8098
912,19250
912,14449
912,6024
912,10664
912,12057
912,6771
912,14110
912,22991
912,7108
912,8814
6296,15303
6296,22489
6296,8098
6296,19250
6296,14449
6296,6024
6296,10664
6296,12057
6296,6771
6296,14110
6296,22991
6296,7108
6296,8814
15303,22489
15303,8098
15303,19250
15303,14449
15303,6024
15303,10664
15303,12057
15303,6771
15303,14110
15303,22991
15303,7108
15303,8814
22489,8098
22489,19250
22489,14449
22489,6024
22489,10664
22489,12057
22489,6771
22489,14110
22489,22991
22489,7108
22489,8814
8098,19250
8098,14449
8098,6024
8098,10664
8098,12057
8098,6771
8098,14110
8098,22991
8098,7108
8098,8814
19250,14449
19250,6024
19250,10664
19250,12057
19250,6771
19250,14110
19250,22991
19250,7108
19250,8814
14449,6024
14449,10664
14449,12057
14449,6771
14449,14110
14449,22991
14449,7108
14449,8814
6024,10664
6024,12057
6024,6771
6024,14110
6024,22991
6024,7108
6024,8814
10664,12057
10664,6771
10664,14110
10664,22991
10664,7108
10664,8814
12057,6771
12057,14110
12057,22991
12057,7108
12057,8814
6771,14110
6771,22991
6771,7108
6771,8814
14110,22991
14110,7108
14110,8814
22991,7108
22991,8814
7108,8814
11046,9166
16741,4614
16741,15638
4614,15638
14341,8199
1935,20206
22246,5782
22456,10950
4560,21672
21709,14757
20990,3535
11444,7415
11444,21969
11444,20254
7415,21969
7415,20254
21969,20254
9051,10954
7965,3512
9471,17789
11992,3872
11992,7912
3872,7912
15505,22711
736,10608
427,17163
427,13507
17163,13507
7184,16050
1281,1577
2911,8752
6458,13627
5053,1374
20599,20258
20599,2373
20258,2373
11105,18024
11105,16369
18024,16369
21878,5991
299,17439
12973,3119
18064,11856
22695,15096
4958,20066
11748,17457
11748,11255
17457,11255
11732,1953
8370,8016
16771,8796
1979,16468
3245,16470
1097,12403
1097,5193
1097,17550
12403,5193
12403,17550
5193,17550
4689,19600
5258,2473
5297,23318
9051,19041
2785,1701
2785,8404
1701,8404
7634,8652
7634,15947
8652,15947
4298,8275
2888,2370
827,1021
6653,21699
14248,1908
17729,18333
1400,11874
15805,1505
15805,20107
1505,20107
869,13366
6299,19335
6299,14875
19335,14875
15554,12759
13560,19016
13560,7418
19016,7418
2316,2015
2316,4647
2316,1664
2015,4647
2015,1664
4647,1664
5227,6464
5227,16168
6464,16168
1980,19614
1980,5434
19614,5434
17002,3706
17002,12455
3706,12455
11521,9406
13636,2308
13636,10817
2308,10817
10118,15385
10118,4932
15385,4932
13016,3317
16557,13901
5831,19982
11811,18826
11811,19674
18826,19674
2267,10052
2267,21877
2267,10345
2267,573
2267,9162
10052,21877
10052,10345
10052,573
10052,9162
21877,10345
21877,573
21877,9162
10345,573
10345,9162
573,9162
10674,4568
2764,5223
21738,21755
14376,9730
9673,19522
9673,17918
19522,17918
2900,15406
18834,11320
20021,2820
11753,11322
4617,9904
4617,17464
9904,17464
2603,22833
22431,15832
22431,15138
22431,8977
22431,22823
15832,15138
15832,8977
15832,22823
15138,8977
15138,22823
8977,22823
9829,22727
20607,4355
782,16688
13406,3521
13406,19677
13406,14955
3521,19677
3521,14955
19677,14955
20435,13839
20435,3272
13839,3272
1546,18618
1546,3945
18618,3945
15047,7951
15047,18264
7951,18264
1826,14716
1826,6721
14716,6721
17251,6645
17251,21028
6645,21028
3109,21752
13768,19334
23412,8064
10225,10664
12281,21838
12281,22790
21838,22790
2768,15329
2768,7362
2768,4647
15329,7362
15329,4647
7362,4647
4194,4736
9550,12463
9550,18605
12463,18605
11322,1400
2190,18904
18042,17766
18042,12447
18042,7173
17766,12447
17766,7173
12447,7173
1974,16474
4884,12286
10824,19365
10824,18921
19365,18921
1138,3986
1138,22313
3986,22313
20148,1056
2366,11331
8146,9016
12598,11810
3678,2939
19462,13627
22390,2252
19729,7975
19729,7719
19729,15027
7975,7719
7975,15027
7719,15027
10327,482
10327,9542
10327,22751
482,9542
482,22751
9542,22751
23035,7073
23035,11559
23035,16881
7073,11559
7073,16881
11559,16881
21800,15743
15385,22169
15385,20170
22169,20170
937,15455
937,20251
937,16254
15455,20251
15455,16254
20251,16254
8560,17791
8560,17541
17791,17541
9808,2400
14281,9744
14281,16015
9744,16015
13640,4018
20377,13046
5962,23225
15181,9500
16227,18295
16227,1365
18295,1365
11336,17922
15753,18474
15494,13940
4340,1263
4340,138
1263,138
2425,13340
12308,7993
12308,2613
12308,20100
12308,20401
7993,2613
7993,20100
7993,20401
2613,20100
2613,20401
20100,20401
6368,13379
6368,121
13379,121
22854,17878
22854,10146
17878,10146
12866,19390
12866,8872
19390,8872
15096,3420
16218,17496
7038,3915
7038,11891
3915,11891
13210,3422
5945,2231
18520,12916
18520,17975
12916,17975
12891,2207
12891,16286
2207,16286
2105,9626
2105,20350
2105,198
9626,20350
9626,198
20350,198
10562,13617
4312,12021
4312,19701
4312,15027
12021,19701
12021,15027
19701,15027
5599,21165
14815,10501
14815,10005
10501,10005
3849,790
6308,10030
6308,18493
6308,17276
10030,18493
10030,17276
18493,17276
10358,9120
10358,6430
9120,6430
16710,7243
16710,8576
7243,8576
4218,17121
17623,1995
22169,20567
14044,11912
2075,1797
2075,2444
2075,13002
2075,23022
2075,19817
2075,13718
1797,2444
1797,13002
1797,23022
1797,19817
1797,13718
2444,13002
2444,23022
2444,19817
2444,13718
13002,23022
13002,19817
13002,13718
23022,19817
23022,13718
19817,13718
9774,1137
18064,3572
9620,3
22450,9962
